year,type,details,country,location
0,Omen,Moon Turns Red,Rome,Gallia
0,Omen,Geese Flying Backwards,Persia,Central Persia
0,Omen,Rivers of Blood,Germania,South Germania
0,Omen,Moon Turns Red,Germania,South Germania
1,Omen,Geese Flying Backwards,Persia,Central Persia
1,Disaster,Pillaged By Germania,Britannia,Britannia
1,Disaster,Pillaged By Persia,Germania,North Germania
1,Omen,Three-Headed Baby,Germania,South Germania
2,Omen,Rivers of Blood,Rome,Italia
2,Omen,Moon Turns Red,Rome,Gallia
2,Disaster,Famine,Persia,North Persia
2,Omen,Rivers of Blood,Britannia,Britannia
3,Disaster,Famine,Rome,Grecia
3,Omen,Geese Flying Backwards,Persia,Central Persia
3,Omen,Moon Turns Red,Persia,North Persia
4,Omen,Rivers of Blood,Rome,Italia
4,Disaster,Famine,Persia,Central Persia
4,Disaster,Plague,Persia,North Persia
5,Disaster,Pillaged By Rome,Persia,Outer Persia
5,Omen,Moon Turns Red,Persia,North Persia
5,Disaster,Fire,Britannia,Britannia
5,Disaster,Fire,Germania,North Germania
6,Omen,Geese Flying Backwards,Rome,Grecia
6,Omen,Rivers of Blood,Persia,North Persia
6,Omen,Geese Flying Backwards,Britannia,Britannia
6,Omen,Rivers of Blood,Germania,South Germania
7,Disaster,Fire,Persia,Outer Persia
7,Disaster,Pillaged By Germania,Persia,North Persia
7,Omen,Rivers of Blood,Britannia,Britannia
7,Omen,Geese Flying Backwards,Britannia,Britannia
7,Disaster,Pillaged By Germania,Britannia,Britannia
8,Omen,Rivers of Blood,Persia,Central Persia
8,Omen,Moon Turns Red,Persia,Outer Persia
8,Disaster,Famine,Britannia,Britannia
9,Omen,Moon Turns Red,Rome,Grecia
9,Omen,Rivers of Blood,Germania,North Germania
10,Omen,Geese Flying Backwards,Rome,Italia
10,Omen,Geese Flying Backwards,Persia,North Persia
10,Disaster,Pillaged By Germania,Britannia,Britannia
10,Disaster,Pillaged By Persia,Germania,North Germania
11,Disaster,Famine,Rome,Italia
11,Omen,Three-Headed Baby,Rome,Grecia
11,Omen,Rivers of Blood,Rome,Grecia
11,Disaster,Famine,Persia,North Persia
11,Omen,Rivers of Blood,Germania,South Germania
11,Disaster,Pillaged By Rome,Germania,South Germania
12,Omen,Three-Headed Baby,Rome,Grecia
12,Omen,Geese Flying Backwards,Persia,North Persia
13,Omen,Geese Flying Backwards,Rome,Grecia
13,Omen,Geese Flying Backwards,Persia,North Persia
13,Omen,Rivers of Blood,Britannia,Britannia
14,Omen,Geese Flying Backwards,Rome,Grecia
14,Omen,Three-Headed Baby,Persia,Central Persia
15,Omen,Three-Headed Baby,Rome,Grecia
15,Omen,Geese Flying Backwards,Persia,North Persia
16,Omen,Moon Turns Red,Rome,Italia
16,Disaster,Fire,Rome,Gallia
16,Disaster,Famine,Rome,Grecia
16,Omen,Three-Headed Baby,Persia,Central Persia
16,Disaster,Famine,Persia,North Persia
16,Omen,Geese Flying Backwards,Britannia,Britannia
16,Disaster,Fire,Germania,South Germania
17,Disaster,Fire,Persia,Central Persia
18,Omen,Moon Turns Red,Rome,Italia
18,Omen,Moon Turns Red,Germania,South Germania
19,Omen,Three-Headed Baby,Rome,Gallia
19,Omen,Geese Flying Backwards,Rome,Grecia
19,Disaster,Fire,Rome,Grecia
19,Disaster,Fire,Persia,Central Persia
19,Omen,Three-Headed Baby,Persia,North Persia
20,Omen,Three-Headed Baby,Rome,Italia
20,Disaster,Famine,Rome,Grecia
22,Omen,Three-Headed Baby,Rome,Gallia
22,Disaster,Famine,Rome,Grecia
22,Disaster,Pillaged By Germania,Britannia,Britannia
23,Disaster,Famine,Rome,Italia
23,Omen,Black Dove,Rome,Grecia
23,Omen,Three-Headed Baby,Persia,Outer Persia
23,Disaster,Fire,Persia,North Persia
23,Omen,Black Dove,Germania,North Germania
23,Omen,Black Dove,Germania,South Germania
24,Omen,Three-Headed Baby,Persia,Outer Persia
24,Omen,Geese Flying Backwards,Britannia,Britannia
25,Omen,Three-Headed Baby,Persia,Outer Persia
25,Omen,Three-Headed Baby,Germania,North Germania
25,Omen,Moon Turns Red,Germania,North Germania
25,Omen,Moon Turns Red,Germania,South Germania
26,Omen,Geese Flying Backwards,Rome,Italia
26,Disaster,Fire,Rome,Gallia
26,Omen,Geese Flying Backwards,Persia,North Persia
26,Disaster,Plague,Germania,North Germania
27,Omen,Geese Flying Backwards,Rome,Grecia
27,Omen,Geese Flying Backwards,Persia,North Persia
28,Omen,Rivers of Blood,Rome,Italia
28,Disaster,Famine,Rome,Italia
28,Omen,Moon Turns Red,Rome,Gallia
28,Disaster,Famine,Rome,Grecia
28,Omen,Rivers of Blood,Persia,North Persia
28,Disaster,Famine,Persia,North Persia
